case:concept:name,id_event,sort_order,time,text,concept:name,event_type2,side,event_team,opponent,player,player2,player_in,player_out,shot_place,shot_outcome,is_goal,location,bodypart,assist_method,situation,fast_break,cumgoal,date,result,time:timestamp,@@index
16 Chelsea vs Crystal Palace,lAGdkX5Q102,102,1:30:00,Ruben Loftus-Cheek (Chelsea) wins a free kick on the right wing.,오른쪽측면프리킥시도,,홈팀,Chelsea,Crystal Palace,ruben loftuscheek,,,,,,0,오른쪽측면,,없음,,0,1,2015-08-29 00:00:10+00:00,패,2015-08-29 01:30:10+00:00,673783
16 Chelsea vs Crystal Palace,lAGdkX5Q103,103,1:30:00,Foul by Yannick Bolasie (Crystal Palace).,파울,,원정팀,Crystal Palace,Chelsea,yannick bolasie,,,,,,0,,,없음,,0,2,2015-08-29 00:00:20+00:00,승,2015-08-29 01:30:20+00:00,673784
16 Chelsea vs Crystal Palace,lAGdkX5Q104,104,1:31:00,Attempt missed. Pedro (Chelsea) right footed shot from the right side of the box misses to the left.,우측패널티박스슈팅시도,,홈팀,Chelsea,Crystal Palace,pedro,,,,좌측으로빗나감,비유효슈팅,0,우측패널티박스,오른발,없음,필드,0,1,2015-08-29 00:00:00+00:00,패,2015-08-29 01:31:00+00:00,673785
16 Chelsea vs Crystal Palace,lAGdkX5Q105,105,1:31:00,Attempt blocked. Cesc Fabregas (Chelsea) right footed shot from the centre of the box is blocked.,패널티박스중앙슈팅시도,,홈팀,Chelsea,Crystal Palace,cesc fabregas,,,,막힘,차단,0,패널티박스중앙,오른발,없음,필드,0,1,2015-08-29 00:00:10+00:00,패,2015-08-29 01:31:10+00:00,673786
16 Chelsea vs Crystal Palace,lAGdkX5Q106,106,1:34:00,Foul by Falcao (Chelsea).,파울,,홈팀,Chelsea,Crystal Palace,falcao,,,,,,0,,,없음,,0,1,2015-08-29 00:00:00+00:00,패,2015-08-29 01:34:00+00:00,673787
16 Chelsea vs Crystal Palace,lAGdkX5Q107,107,1:34:00,Yannick Bolasie (Crystal Palace) wins a free kick in the defensive half.,수비지역프리킥시도,,원정팀,Crystal Palace,Chelsea,yannick bolasie,,,,,,0,수비지역,,없음,,0,2,2015-08-29 00:00:10+00:00,승,2015-08-29 01:34:10+00:00,673788
16 Chelsea vs Crystal Palace,lAGdkX5Q108,108,1:34:00,Foul by Cesc Fabregas (Chelsea).,파울,,홈팀,Chelsea,Crystal Palace,cesc fabregas,,,,,,0,,,없음,,0,1,2015-08-29 00:00:20+00:00,패,2015-08-29 01:34:20+00:00,673789
16 Chelsea vs Crystal Palace,lAGdkX5Q109,109,1:34:00,Lee Chung-yong (Crystal Palace) wins a free kick on the right wing.,오른쪽측면프리킥시도,,원정팀,Crystal Palace,Chelsea,lee chungyong,,,,,,0,오른쪽측면,,없음,,0,2,2015-08-29 00:00:30+00:00,승,2015-08-29 01:34:30+00:00,673790
16 Chelsea vs Everton,A79oxRzJ1,1,0:08:00,Attempt blocked. Ross Barkley (Everton) right footed shot from outside the box is blocked. Assisted by Muhamed Besic.,패널티바깥쪽슈팅시도,키패스,원정팀,Everton,Chelsea,ross barkley,muhamed besic,,,막힘,차단,0,패널티바깥쪽,오른발,패스,필드,0,0,2016-01-16 00:00:00+00:00,무,2016-01-16 00:08:00+00:00,758049
16 Chelsea vs Everton,A79oxRzJ2,2,0:09:00,Foul by Bryan Oviedo (Everton).,파울,,원정팀,Everton,Chelsea,bryan oviedo,,,,,,0,,,없음,,0,0,2016-01-16 00:00:00+00:00,무,2016-01-16 00:09:00+00:00,758050
16 Chelsea vs Everton,A79oxRzJ3,3,0:09:00,"Corner,  Everton. Conceded by Kurt Zouma.",코너킥,,원정팀,Everton,Chelsea,kurt zouma,kurt zouma,,,,,0,,,없음,,0,0,2016-01-16 00:00:10+00:00,무,2016-01-16 00:09:10+00:00,758051
