id_odsp,event_team,cumgoal
x4HaT5NB/,Schalke 04,4
x4HaT5NB/,SC Freiburg,2
xECinMZ1/,Valencia,0
xECinMZ1/,Sevilla,1
255TfkNe/,Catania,1
255TfkNe/,Juventus,1
8UjQeV7k/,Udinese,0
8UjQeV7k/,Cagliari,0
d44qlr5k/,Racing Santander,0
d44qlr5k/,Sporting Gijon,0
GfG3SPxI/,Werder Bremen,2
GfG3SPxI/,Hertha Berlin,1
h09Qomwt/,TSG Hoffenheim,0
h09Qomwt/,FC Cologne,2
Iyt8mOqb/,St Etienne,1
Iyt8mOqb/,Stade Rennes,1
lpS4bOTm/,Siena,3
lpS4bOTm/,Lecce,0
nJ6OIhF2/,Lazio,0
nJ6OIhF2/,Palermo,0
OdFg1ipS/,Atalanta,2
OdFg1ipS/,Novara,1
OWJSpVNa/,Sochaux,1
OWJSpVNa/,AJ Auxerre,4
SQuKiHBs/,Real Zaragoza,0
SQuKiHBs/,Malaga,0
td4Xg9x2/,Genoa,1
td4Xg9x2/,Chievo Verona,2
v97zjetf/,Levante,3
v97zjetf/,Espanyol,1
W8Xaa4Es/,AS Roma,1
W8Xaa4Es/,Parma,0
WdJWqkw6/,AC Ajaccio,1
WdJWqkw6/,Brest,1
YPNoAPR8/,Real Sociedad,1
YPNoAPR8/,Mallorca,2
MmuOjyRm/,Getafe,1
MmuOjyRm/,Real Betis,0
SAFObQMo/,Kaiserslautern,0
SAFObQMo/,VfB Stuttgart,2
0Wesr5x5/,Borussia Dortmund,4
0Wesr5x5/,FC Augsburg,0
2ynI4fem/,Getafe,2
2ynI4fem/,Malaga,3
8KNWd4ib/,Hertha Berlin,3
8KNWd4ib/,FC Cologne,0
8tH6vNyU/,Nurnberg,3
8tH6vNyU/,Mainz,3
Ak3YZtpo/,SC Freiburg,1
Ak3YZtpo/,Borussia Monchengladbach,0
dr3w2hu6/,Racing Santander,1
dr3w2hu6/,Rayo Vallecano,1
ETOJrtqN/,Nice,1
ETOJrtqN/,Caen,1
GtJdbLrA/,St Etienne,1
GtJdbLrA/,AJ Auxerre,1
h2drBdIJ/,Osasuna,2
h2drBdIJ/,Mallorca,2
hKNNs0bT/,Dijon FCO,1
hKNNs0bT/,AC Ajaccio,1
IiOgsPiB/,Bayer Leverkusen,3
IiOgsPiB/,VfL Wolfsburg,1
lEwaCsbm/,Atalanta,1
lEwaCsbm/,AS Roma,3
nufinDuJ/,Valencia,1
nufinDuJ/,Granada,0
O2EgxvMj/,Lorient,2
O2EgxvMj/,Valenciennes,0
OpmE5zts/,Real Zaragoza,2
OpmE5zts/,Villarreal,2
QeYRcpxh/,TSG Hoffenheim,0
QeYRcpxh/,Bayern Munich,0
r3kgcubG/,Sochaux,3
r3kgcubG/,Toulouse,0
rTKl0sEc/,AS Nancy Lorraine,1
rTKl0sEc/,Evian Thonon Gaillard,1
W4ZEqMTG/,Montpellier,2
W4ZEqMTG/,Bordeaux,2
xjhPeMD6/,Napoli,3
xjhPeMD6/,Internazionale,0
0OeqlZA6/,Barcelona,1
0OeqlZA6/,Sporting Gijon,0
2L3Z2YPa/,Real Madrid,4
2L3Z2YPa/,Espanyol,0
650nAGXP/,Athletic Bilbao,2
650nAGXP/,Real Sociedad,1
8lemmgQC/,Sevilla,0
